seconds	speed	acc_on	acc_active	acc_gap_setting	acc_set_speed	acc_dist	gps_lat	gps_long	gps_heading	vsl_last_update	vsl_speed	vsl_mode
58523.684	13.22	1	1	2	15.20	24.6	37.851398500000	-122.29964333333	168.3	26	15	1
58523.734	13.22	1	1	2	15.20	24.6	37.851375166667	-122.29963716667	168.2	26	15	1
58523.783	13.25	1	1	2	15.20	24.5	37.851375166667	-122.29963716667	168.2	26	15	1
58523.834	13.25	1	1	2	15.20	24.5	37.851375166667	-122.29963716667	168.2	26	15	1
58523.884	13.25	1	1	2	15.20	24.4	37.851375166667	-122.29963716667	168.2	26	15	1
58523.934	13.25	1	1	2	15.20	24.4	37.851351833333	-122.29963133333	168.8	26	15	1
58523.984	13.22	1	1	2	15.20	24.4	37.851351833333	-122.29963133333	168.8	26	15	1
58524.033	13.22	1	1	2	15.20	24.4	37.851351833333	-122.29963133333	168.8	26	15	1
58524.085	13.22	1	1	2	15.20	24.4	37.851351833333	-122.29963133333	168.8	26	15	1
58524.134	13.22	1	1	2	15.20	24.4	37.851328500000	-122.29962550000	168.8	26	15	1
58524.184	13.17	1	1	2	15.20	24.4	37.851328500000	-122.29962550000	168.8	26	15	1
58524.234	13.17	1	1	2	15.20	24.4	37.851328500000	-122.29962550000	168.8	26	15	1
58524.284	13.14	1	1	2	15.20	24.299999	37.851328500000	-122.29962550000	168.8	26	15	1
58524.334	13.14	1	1	2	15.20	24.299999	37.851305333333	-122.29961966667	168.8	26	15	1
58524.384	13.11	1	1	2	15.20	24.299999	37.851305333333	-122.29961966667	168.8	26	15	1
58524.433	13.11	1	1	2	15.20	24.299999	37.851305333333	-122.29961966667	168.8	26	15	1
58524.484	13.14	1	1	2	15.20	24.200001	37.851305333333	-122.29961966667	168.8	26	15	1
58524.534	13.14	1	1	2	15.20	24.200001	37.851305333333	-122.29961966667	168.8	26	15	1
58524.585	13.11	1	1	2	15.20	24.200001	37.851282166667	-122.29961400000	169.1	26	15	1
58524.634	13.11	1	1	2	15.20	24.200001	37.851282166667	-122.29961400000	169.1	26	15	1
58524.686	13.08	1	1	2	15.20	24.200001	37.851282166667	-122.29961400000	169.1	26	15	1
58524.735	13.08	1	1	2	15.20	24.200001	37.851259000000	-122.29960816667	168.8	26	15	1
58524.784	13.06	1	1	2	15.20	24.1	37.851259000000	-122.29960816667	168.8	26	15	1
58524.835	13.06	1	1	2	15.20	24.1	37.851259000000	-122.29960816667	168.8	26	15	1
58524.885	13.03	1	1	2	15.20	24.1	37.851259000000	-122.29960816667	168.8	26	15	1
58524.935	13.03	1	1	2	15.20	24.1	37.851236000000	-122.29960266667	169.3	26	15	1
58524.985	13.03	1	1	2	15.20	24.1	37.851236000000	-122.29960266667	169.3	26	15	1
58525.034	13.03	1	1	2	15.20	24.1	37.851236000000	-122.29960266667	169.3	26	15	1
58525.085	12.94	1	1	2	15.20	24.1	37.851236000000	-122.29960266667	169.3	26	15	1
58525.135	12.94	1	1	2	15.20	24.1	37.851213000000	-122.29959716667	169.3	26	15	1
58525.184	12.94	1	1	2	15.20	24.1	37.851213000000	-122.29959716667	169.3	26	15	1
58525.235	12.94	1	1	2	15.20	24.1	37.851213000000	-122.29959716667	169.3	26	15	1
58525.286	12.92	1	1	2	15.20	24.1	37.851213000000	-122.29959716667	169.3	26	15	1
58525.335	12.92	1	1	2	15.20	24.1	37.851190166667	-122.29959166667	169.2	26	15	1
58525.384	12.92	1	1	2	15.20	24	37.851190166667	-122.29959166667	169.2	26	15	1
58525.435	12.92	1	1	2	15.20	24	37.851190166667	-122.29959166667	169.2	26	15	1
58525.485	12.89	1	1	2	15.20	24	37.851190166667	-122.29959166667	169.2	26	15	1
58525.534	12.89	1	1	2	15.20	24	37.851167166667	-122.29958633333	169.6	26	15	1
58525.585	12.89	1	1	2	15.20	24	37.851167166667	-122.29958633333	169.6	26	15	1
58525.635	12.89	1	1	2	15.20	24	37.851167166667	-122.29958633333	169.6	26	15	1
58525.686	12.86	1	1	2	15.20	24	37.851167166667	-122.29958633333	169.6	26	15	1
58525.735	12.86	1	1	2	15.20	24	37.851144333333	-122.29958100000	169.6	26	15	1
58525.784	12.86	1	1	2	15.20	24	37.851144333333	-122.29958100000	169.6	26	15	1
58525.834	12.86	1	1	2	15.20	24	37.851144333333	-122.29958100000	169.6	26	15	1
58525.885	12.83	1	1	2	15.20	24	37.851144333333	-122.29958100000	169.6	26	15	1
58525.934	12.83	1	1	2	15.20	24	37.851121666667	-122.29957566667	169.5	26	15	1
58525.984	12.78	1	1	2	15.20	24	37.851121666667	-122.29957566667	169.5	26	15	1
58526.034	12.78	1	1	2	15.20	24	37.851121666667	-122.29957566667	169.5	26	15	1
58526.085	12.78	1	1	2	15.20	24	37.851121666667	-122.29957566667	169.5	26	15	1
58526.134	12.78	1	1	2	15.20	24	37.851099000000	-122.29957033333	169.5	26	15	1
58526.184	12.72	1	1	2	15.20	24	37.851099000000	-122.29957033333	169.5	26	15	1
58526.234	12.72	1	1	2	15.20	24	37.851099000000	-122.29957033333	169.5	26	15	1
58526.284	12.75	1	1	2	15.20	24	37.851099000000	-122.29957033333	169.5	26	15	1
58526.333	12.75	1	1	2	15.20	24	37.851076333333	-122.29956500000	169.5	26	15	1
58526.382	12.75	1	1	2	15.20	24	37.851076333333	-122.29956500000	169.5	3	40	1
58526.430	12.72	1	1	2	15.20	23.9	37.851076333333	-122.29956500000	169.5	3	40	1
58526.484	12.72	1	1	2	15.20	23.9	37.851076333333	-122.29956500000	169.5	3	40	1
58526.534	12.72	1	1	2	15.20	23.9	37.851053833333	-122.29955966667	169.4	3	40	1
58526.584	12.69	1	1	2	15.20	23.9	37.851053833333	-122.29955966667	169.4	3	40	1
58526.633	12.69	1	1	2	15.20	23.9	37.851053833333	-122.29955966667	169.4	3	40	1
58526.685	12.69	1	1	2	15.20	23.9	37.851053833333	-122.29955966667	169.4	3	40	1
58526.734	12.69	1	1	2	15.20	23.9	37.851031166667	-122.29955450000	169.8	3	40	1
58526.784	12.69	1	1	2	15.20	24	37.851031166667	-122.29955450000	169.8	3	40	1
58526.833	12.69	1	1	2	15.20	24	37.851031166667	-122.29955450000	169.8	3	40	1
58526.884	12.67	1	1	2	15.20	24	37.851031166667	-122.29955450000	169.8	3	40	1
58526.934	12.67	1	1	2	15.20	24	37.851008833333	-122.29954900000	169.0	3	40	1
58526.984	12.64	1	1	2	15.20	24	37.851008833333	-122.29954900000	169.0	3	40	1
58527.033	12.64	1	1	2	15.20	24	37.851008833333	-122.29954900000	169.0	3	40	1
58527.085	12.64	1	1	2	15.20	23.799999	37.851008833333	-122.29954900000	169.0	3	40	1
58527.134	12.64	1	1	2	15.20	23.799999	37.850986333333	-122.29954366667	169.4	3	40	1
58527.184	12.61	1	1	2	15.20	23.700001	37.850986333333	-122.29954366667	169.4	3	40	1
58527.233	12.61	1	1	2	15.20	23.700001	37.850986333333	-122.29954366667	169.4	3	40	1
58527.284	12.58	1	1	2	15.20	23.700001	37.850986333333	-122.29954366667	169.4	3	40	1
58527.334	12.58	1	1	2	15.20	23.700001	37.850964000000	-122.29953833333	169.3	3	40	1
58527.383	12.64	1	1	2	15.20	23.6	37.850964000000	-122.29953833333	169.3	3	40	1
58527.433	12.64	1	1	2	15.20	23.6	37.850964000000	-122.29953833333	169.3	3	40	1
58527.485	12.58	1	1	2	15.20	23.5	37.850964000000	-122.29953833333	169.3	3	40	1
58527.534	12.58	1	1	2	15.20	23.5	37.850941666667	-122.29953283333	169.0	3	40	1
58527.584	12.61	1	1	2	15.20	23.4	37.850941666667	-122.29953283333	169.0	3	40	1
58527.633	12.61	1	1	2	15.20	23.4	37.850941666667	-122.29953283333	169.0	3	40	1
58527.685	12.58	1	1	2	15.20	23.5	37.850941666667	-122.29953283333	169.0	3	40	1
58527.734	12.58	1	1	2	15.20	23.5	37.850919333333	-122.29952750000	169.3	3	40	1
58527.783	12.56	1	1	2	15.20	23.799999	37.850919333333	-122.29952750000	169.3	3	40	1
58527.833	12.56	1	1	2	15.20	23.799999	37.850919333333	-122.29952750000	169.3	3	40	1
58527.884	12.53	1	1	2	15.20	24	37.850919333333	-122.29952750000	169.3	3	40	1
58527.934	12.53	1	1	2	15.20	24	37.850897000000	-122.29952200000	169.0	3	40	1
58527.984	12.56	1	1	2	15.20	24.1	37.850897000000	-122.29952200000	169.0	3	40	1
58528.033	12.56	1	1	2	15.20	24.1	37.850897000000	-122.29952200000	169.0	3	40	1
58528.085	12.50	1	1	2	15.20	24.1	37.850897000000	-122.29952200000	169.0	3	40	1
58528.134	12.50	1	1	2	15.20	24.1	37.850874833333	-122.29951650000	168.9	3	40	1
58528.184	12.53	1	1	2	15.20	24.1	37.850874833333	-122.29951650000	168.9	3	40	1
58528.233	12.53	1	1	2	15.20	24.1	37.850874833333	-122.29951650000	168.9	3	40	1
58528.284	12.50	1	1	2	15.20	24.1	37.850874833333	-122.29951650000	168.9	3	40	1
58528.334	12.50	1	1	2	15.20	24.1	37.850852666667	-122.29951100000	168.9	3	40	1
58528.384	12.53	1	1	2	15.20	24.1	37.850852666667	-122.29951100000	168.9	3	40	1
58528.433	12.53	1	1	2	15.20	24.1	37.850852666667	-122.29951100000	168.9	3	40	1
58528.484	12.50	1	1	2	15.20	24.1	37.850852666667	-122.29951100000	168.9	3	40	1
